Sex,Age,subgroup,ME-1,ME0,ME1,ME2,ME1-4,CD,IN,IA,UE,O-LIFE total,Ishihara
1,19.92,1,0.005551215,-0.021152406,0.014446409,0.009093927,0.001984786,6,0,8,2,16,13
1,21.16,2,0.024392107,0.046137429,0.02340996,0.062906701,0.039211549,18,19,2,13,52,15
1,19.75,2,0.06664899,-0.032347216,0.023167231,0.026552901,0.021005477,20,4,5,19,48,12
0,20.08,2,0.029897663,-0.023470073,0.007015156,0.008466136,0.00547722,10,10,0,10,30,11
1,20.16,2,0.035555731,0.005575358,0.041430071,0.004562866,0.021781006,17,5,14,8,44,13
1,22.16,1,0.004934184,0.0222381,0.023752748,0.056390669,0.026828925,13,10,7,16,46,14
1,27.08,2,0.004857666,0.01673311,0.017980923,0.010218427,0.012447531,6,2,1,13,22,13
1,21.33,1,0.000783879,0.004306676,0.008426124,0.013982577,0.006874814,8,2,8,4,22,12
1,20.08,1,0.031859434,0.025506279,0.031322974,-0.021119654,0.016892259,21,14,3,20,58,12
1,21.08,2,-0.009559722,0.016257676,0.019485194,0.016612155,0.010698826,7,5,2,4,18,15
1,27.41,2,0.006434474,0.025625233,0.012233999,0.016111029,0.015101184,23,11,15,27,76,12
1,20,1,-0.025661789,-0.001522359,0.030739088,0.073369178,0.01923103,18,8,7,16,49,14
1,25.16,1,0.002182475,0.023354119,0.011400169,0.011826852,0.012190904,24,9,14,0,47,12
0,24.84,1,-0.03152387,0.00180877,0.036738531,0.011259251,0.00457067,8,4,2,10,24,10
0,20.42,1,-0.006824398,-0.009410874,-0.009061088,-0.025370251,-0.012666653,19,2,13,4,38,13
1,19.67,2,0.007342805,0.017943282,0.029161948,0.017442234,0.017972567,15,4,9,10,38,14
1,20.33,2,0.002545376,0.006438419,-0.003822947,0.033486618,0.009661866,4,3,4,2,13,15
1,21.16,2,0.021540777,0.01699875,0.009292142,0.032528546,0.020090054,11,0,9,2,22,14
1,20.08,1,0.01874221,0.020855679,0.029787731,0.036461506,0.026461781,20,8,8,9,45,14
1,19.58,2,-0.000575662,0.007140956,0.032228928,-0.003839675,0.008738637,22,13,1,14,50,12
1,19.83,1,0.134058996,0.052079728,0.022736869,0.040416094,0.062322922,23,11,5,21,60,13
1,20.25,2,0.006252325,0.006562216,0.022644684,0.022091338,0.014387641,22,11,9,28,70,13
1,20.42,1,0.122588211,0.036052473,0.037531571,0.033964731,0.057534247,13,8,3,3,27,14
1,20.58,1,-0.034457172,0.022385168,-0.006052808,0.058443784,0.010079743,23,14,16,25,78,12
1,21.5,1,0.002503317,0.00183629,0.011205379,0.017836842,0.008345457,11,7,1,11,30,13
1,20.16,1,0.005277076,0.018772899,0.001686684,0.01902207,0.011189682,5,6,4,7,22,12
1,21.58,2,0.00610148,-0.007433578,0.002192777,0.030137801,0.00774962,22,8,11,8,49,13
1,20.16,2,-0.009500432,0.025381165,0.001145646,0.028274122,0.011325125,16,16,11,19,62,15
1,19.92,2,0.028694336,0.018391132,0.008246485,0.015800674,0.017783157,9,4,0,13,26,13
0,24.33,2,0.015894302,-0.002100067,0.03148675,-0.010134323,0.008786665,10,3,1,5,19,16
1,23.67,2,-0.01008628,0.001251296,0.004670163,0.018594997,0.003607544,11,2,5,3,21,14
